year,month,state,totals,Population,Totals per 1000,Pres Election,Sitting President,Mass Shooting,Real GDP,GDP per capita,Urban
2021,9,Alabama,65900,4934193,13.35578077,0,1,0,202949.95,41131,59
2021,9,Alaska,6520,724357,9.001086481,0,1,0,50138.25,69218,66
2021,9,Arizona,40033,7520103,5.32346432,1,1,0,329102.8,43763,89.8
2021,9,Arkansas,20536,3033946,6.768742753,0,1,0,120292.75,39649,56.2
2021,9,California,116704,39613493,2.946066887,1,1,0,2805217.85,70815,95
2021,9,Colorado,45908,5893634,7.789421603,1,1,0,361588.85,61352,86.2
2021,9,Connecticut,17742,3552821,4.993778184,1,1,0,244053,68693,88
2021,9,Delaware,4469,990334,4.512618975,1,1,0,63333.25,63951,83.3
2021,9,District of Columbia,1076,714153,1.506679941,1,1,0,124934.95,174941,100
2021,9,Florida,124186,21944577,5.659074677,0,1,0,986239.5,44942,91.2
2021,9,Georgia,52797,10830007,4.875066101,1,1,0,559703.8,51681,75.1
2021,9,Hawaii,1674,1406430,1.190247648,1,1,0,73506.55,52265,91.9
2021,9,Idaho,18890,1860123,10.15524242,0,1,0,76433.4,41091,70.6
2021,9,Illinois,347462,12569321,27.64365712,1,1,0,774004.05,61579,88.5
2021,9,Indiana,105065,6805663,15.43787872,0,1,0,349137.95,51301,72.4
2021,9,Iowa,16929,3167974,5.343793857,0,1,0,180862.9,57091,64
2021,9,Kansas,16789,2917224,5.755128849,0,1,0,163607.85,56083,74.2
2021,9,Kentucky,370706,4480713,82.73370778,0,1,0,194512.6,43411,58.4
2021,9,Louisiana,27258,4627002,5.891071584,0,1,0,227710.1,49213,73.2
2021,9,Maine,11473,1354522,8.470146664,1,1,0,60665.6,44787,38.7
2021,9,Maryland,17893,6065436,2.949994032,1,1,0,369172.5,60865,87.2
2021,9,Massachusetts,18819,6912239,2.72256211,1,1,0,519324.4,75131,92
2021,9,Michigan,71059,9992427,7.111285376,1,1,0,465141.5,46549,74.6
2021,9,Minnesota,74716,5706398,13.09337344,1,1,0,341361.15,59821,73.3
2021,9,Mississippi,21872,2966407,7.373229634,0,1,0,103299.35,34823,49.4
2021,9,Missouri,43082,6169038,6.983584799,0,1,0,294931.35,47808,70.4
2021,9,Montana,12450,1085004,11.47461208,0,1,0,48327.75,44542,55.9
2021,9,Nebraska,6264,1951996,3.209022969,0,1,0,124375.05,63717,73.1
2021,9,Nevada,13084,3185786,4.106992748,1,1,0,151285.3,47488,94.2
2021,9,New Hampshire,11013,1372203,8.025780442,1,1,0,78298.9,57061,60.3
2021,9,New Jersey,14237,8874520,1.604255779,1,1,0,561176.95,63235,94.7
2021,9,New Mexico,14497,2105005,6.886919509,1,1,0,95059.6,45159,77.4
2021,9,New York,38177,19299981,1.978084849,1,1,0,1496223,77525,87.9
2021,9,North Carolina,53482,10701022,4.997840393,0,1,0,526401.05,49192,66.1
2021,9,North Dakota,6432,770026,8.352964705,0,1,0,57518,74696,59.9
2021,9,Ohio,56777,11714618,4.846679593,0,1,0,612962.15,52325,77.9
2021,9,Oklahoma,28779,3990443,7.211981226,0,1,0,195574.8,49011,66.2
2021,9,Oregon,34563,4289439,8.057697055,1,1,0,222068.8,51771,81
2021,9,Pennsylvania,101592,12804123,7.934319281,1,1,0,708962.25,55370,78.7
2021,9,Rhode Island,2433,1061509,2.292020134,1,1,0,52693.15,49640,90.7
2021,9,South Carolina,35025,5277830,6.636250126,0,1,0,217845.35,41276,66.3
2021,9,South Dakota,7924,896581,8.838019097,0,1,0,48614.8,54222,56.7
2021,9,Tennessee,64531,6944260,9.292710814,0,1,0,338463.45,48740,66.4
2021,9,Texas,154778,29730311,5.206067303,0,1,0,1806783.6,60772,84.7
2021,9,Utah,86418,3310774,26.10205348,0,1,0,177030.8,53471,90.6
2021,9,Vermont,3993,623251,6.406728589,1,1,0,29606.95,47504,38.9
2021,9,Virginia,44779,8603985,5.204448869,1,1,0,488405.65,56765,75.5
2021,9,Washington,58393,7796941,7.489219169,1,1,0,560688.95,71911,84.1
2021,9,West Virginia,15034,1767859,8.504071875,0,1,0,71983.5,40718,48.7
2021,9,Wisconsin,65312,5852490,11.15969442,1,1,0,301100.45,51448,70.2
2021,9,Wyoming,6136,581075,10.55973842,0,1,0,36911.6,63523,64.8
