Year,state,Totals,Population,Totals per 1000,Pres Election,Sitting President,Mass Shooting,MSpM,Real GDP,GDP per capita,Urban
2020,Alabama,1085475,5024279,216.05,0,0,0,0,196906.1,39191,59
2020,Alaska,98952,733391,134.92,0,0,0,0,50161,68396,66
2020,Arizona,665458,7151502,93.05,1,0,0,0,320550.6,44823,89.8
2020,Arkansas,324741,3011524,107.83,0,0,0,0,114943.5,38168,56.2
2020,California,1601054,39538223,40.49,1,0,0,0,2663665.9,67369,95
2020,Colorado,680507,5773714,117.86,1,0,0,0,346011.3,59929,86.2
2020,Connecticut,219227,3605944,60.8,1,0,0,0,235888.6,65417,88
2020,Delaware,77057,989948,77.84,1,0,0,0,62056.2,62686,83.3
2020,District of Columbia,11485,689545,16.66,1,0,0,0,122342.1,177424,100
2020,Florida,1912204,21538187,88.78,0,0,0,0,944000.8,43829,91.2
2020,Georgia,904035,10711908,84.4,1,0,0,0,536693,50102,75.1
2020,Hawaii,20102,1455271,13.81,1,0,0,0,70625.2,48531,91.9
2020,Idaho,281284,1839106,152.95,0,0,0,0,73655.4,40050,70.6
2020,Illinois,7455065,12812508,581.86,1,0,0,0,737643.6,57572,88.5
2020,Indiana,1935587,6785528,285.25,0,0,0,0,329863.3,48613,72.4
2020,Iowa,270614,3190369,84.82,0,0,0,0,169420.3,53104,64
2020,Kansas,249589,2937880,84.96,0,0,0,0,156770.1,53362,74.2
2020,Kentucky,3330462,4505836,739.14,0,0,0,0,185535.1,41177,58.4
2020,Louisiana,430537,4657757,92.43,0,0,0,0,222296.8,47726,73.2
2020,Maine,137149,1362359,100.67,1,0,0,0,58757.3,43129,38.7
2020,Maryland,302563,6177224,48.98,1,0,0,0,353052.5,57154,87.2
2020,Massachusetts,262583,7029917,37.35,1,0,0,0,498577,70922,92
2020,Michigan,1068511,10077331,106.03,1,0,0,0,445682.6,44226,74.6
2020,Minnesota,958391,5706494,167.95,1,0,0,0,326635.6,57239,73.3
2020,Mississippi,366829,2961279,123.88,0,0,0,0,99667.5,33657,49.4
2020,Missouri,708184,6154913,115.06,0,0,1,0.162471833,282654.2,45923,70.4
2020,Montana,172695,1084225,159.28,0,0,0,0,46158.1,42572,55.9
2020,Nebraska,104511,1961504,53.28,0,0,0,0,117664.9,59987,73.1
2020,Nevada,219349,3104614,70.65,1,0,0,0,145219.1,46775,94.2
2020,New Hampshire,174662,1377529,126.79,1,0,0,0,75543.1,54840,60.3
2020,New Jersey,177901,9288994,19.15,1,0,0,0,535794.9,57681,94.7
2020,New Mexico,206252,2117522,97.4,1,0,0,0,92696.5,43776,77.4
2020,New York,507940,20201249,25.14,1,0,0,0,1420141,70300,87.9
2020,North Carolina,890284,10439388,85.28,0,0,0,0,499517.5,47849,66.1
2020,North Dakota,85465,779094,109.7,0,0,0,0,54581.1,70057,59.9
2020,Ohio,976751,11799448,82.78,0,0,0,0,589897.7,49994,77.9
2020,Oklahoma,470286,3959353,118.78,0,0,0,0,190893.8,48213,66.2
2020,Oregon,516096,4237256,121.8,1,0,0,0,212849.7,50233,81
2020,Pennsylvania,1452921,13002700,111.74,1,0,0,0,683773.9,52587,78.7
2020,Rhode Island,51369,1097379,46.81,1,0,0,0,51415.1,46853,90.7
2020,South Carolina,530930,5118425,103.73,0,0,0,0,208480.5,40731,66.3
2020,South Dakota,115448,886667,130.2,0,0,0,0,46682.7,52650,56.7
2020,Tennessee,984760,6910840,142.49,0,0,0,0,316325.3,45772,66.4
